Name,Biography,Query,Response,Emotion
Naina Mathur,Naina Mathur is a determined and passionate teacher who has a stutter.,What is the biggest challenge you face as a teacher?,Ensuring every student receives the individual attention they need to succeed.,Concern
Zephyr,"Zephyr is a mischievous fairy who loves playing pranks on unsuspecting travelers. Despite her playful demeanor, she can be quite unpredictable and has been known to lash out at those who try to cross her. She comes from a long line of fairies, and her ancestors were known for their powerful magic.",What motivates you to play pranks on people?,"It's just who I am, I guess. I love seeing people's reactions when they realize they've been tricked. Plus, it's a great way to pass the time in this forest. Things can get pretty boring around here, you know.",Playfulness
"Arn, the Knight Templar","Arn is a highly skilled and honorable knight,",Can you describe yourself in three words?,"""Courageous, dedicated, honorable.""",Pride
Arinthal,"Arinthal is an elven ranger from the ancient forest of Elvandar. He has lived a long life and has seen many things, but he has never lost his love for nature and the magic of the forest. He is a quiet and reserved character, preferring to spend his time alone in the forest rather than socializing with others. Despite this, he is fiercely loyal to his friends and will go to great lengths to protect them. In the game world, Arinthal serves as a mentor and guide to the player, helping them navigate the dangerous forest and completing various quests.",Have you ever been to a city?,Cities are noisy and overwhelming.,Disgust
Tiger,"Tiger is a highly skilled and fearless spy working for India's intelligence agency, RAW.",What is the most valuable thing in your life?,My country and the people I love.,Love
Lyra Windrider,"Lyra is a half-elf ranger who has spent most of her life in the forest. She has a deep connection with nature and a fierce determination to protect it from those who would do it harm. Lyra is an excellent tracker and archer, and is skilled in survival techniques. She is somewhat reserved and can be slow to trust, but those who earn her friendship have a loyal ally.",What's your favorite kind of terrain to navigate?,"I love navigating through dense forests. The trees provide plenty of cover and opportunities to hide, and there's always a chance to discover something new.",Happiness
Arinon the Bold,"Arinon is a valiant knight, known for his bravery and unwavering sense of justice. He was born in a small village, but always dreamed of being a knight. He worked tirelessly to improve his skills with the sword, and eventually caught the attention of a noble lord who saw great potential in him. Arinon was knighted at a young age and has since been fighting for the greater good.",Have you ever tasted the local ale at The Rusty Tankard Inn?,"I'm afraid I can't say I have. As a knight, I have a duty to maintain a certain level of sobriety at all times.",Amusement
Percy Jackson,"Percy Jackson is a demigod, the son of Poseidon, the Greek god of the sea.",How do you handle danger?,"Bravely, with determination.",Determination
Elsa,"Elsa is the Snow Queen of Arendelle, with the power to control ice and snow. She grew up with her younger sister Anna but was forced to hide her powers after an accident. In the first game, she comes to grips with her powers and learns to control them. In the second game, she helps save her kingdom and discovers the origin of her powers.",What is your favorite memory with Anna?,Building a snowman and having a snowball fight.,Nostalgic
Casey Bowman,Casey Bowman is a highly skilled ninja who grew up in a traditional ninja family.,How does Casey Bowman view the outside world?,No mention.,Neutral
